# Time-averaged data for fix avg
# TimeStep v_dens v_vol_
35000 1.18466 16055
40000 1.18621 16034
45000 1.18671 16027.3
50000 1.18499 16050.8
55000 1.18938 15991.3
60000 1.18855 16002.5
65000 1.18975 15986.4
70000 1.18847 16003.4
75000 1.18536 16045.6
80000 1.19053 15976.1
85000 1.1896 15988.6
90000 1.19281 15945.5
95000 1.19491 15917.2
100000 1.19316 15940.9
105000 1.19624 15899.6
