# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55300 6.71215 1.28915e-05 15947.9
55400 1.57421 0.0713205 15944.8
55500 -4.83107 3306.44 15962.9
55600 19.7837 3.87159e-15 15990.7
55700 3.14903 0.00508141 16015.7
55800 6.32158 2.48216e-05 15995.3
55900 -0.640917 2.9302 16029.8
56000 1.29405 0.114105 16029.9
56100 -2.06056 31.7019 15980.4
56200 2.78017 0.00943391 15904.7
56300 9.27638 1.74705e-07 15905.9
56400 11.5067 4.14517e-09 15938.8
56500 5.48739 0.000100583 15955.5
56600 0.0320999 0.94758 15967.1
56700 7.27687 4.99938e-06 16017.3
56800 29.426 3.66147e-22 16086.9
56900 2.98952 0.00664025 16089.6
57000 -0.995987 5.3157 16036.8
57100 7.6543 2.65438e-06 15958.5
57200 -1.42997 11.0081 15866
57300 -0.851263 4.16996 15902.1
57400 14.9093 1.37655e-11 16015.7
57500 15.1982 8.47855e-12 16115.3
57600 0.179631 0.739847 16108.4
57700 2.38881 0.0181881 16093.9
57800 6.93703 8.84067e-06 16015.1
57900 3.09395 0.00557327 15934.5
58000 4.13764 0.000967827 15991.8
58100 4.8943 0.000272007 16064.7
58200 8.21637 1.03397e-06 16046.7
58300 15.6679 3.85662e-12 15957.6
58400 0.0390308 0.936627 15920.7
58500 3.7692 0.00179557 15967.2
58600 1.56359 0.0726025 15993.1
58700 1.12994 0.150265 16011.3
58800 10.7687 1.4294e-08 16072.6
58900 6.59245 1.57581e-05 16071
59000 13.5589 1.32613e-10 16065.2
59100 5.50139 9.82483e-05 16036
59200 -1.1036 6.36733 16004
59300 7.18979 5.78565e-06 16032.9
59400 -1.05386 5.85759 16004.1
59500 3.03719 0.00612998 15942.7
59600 8.94432 3.04932e-07 15911.5
59700 25.7738 1.67574e-19 15932.6
59800 0.282421 0.622674 16046.4
59900 12.4277 8.84349e-10 16082.8
60000 16.6287 7.69613e-13 15974.1
60100 0.805975 0.258738 15908.2
60200 12.1564 1.39393e-09 15949.8
60300 2.42639 0.0170771 15984.5
60400 12.8105 4.65294e-10 16046.4
60500 5.4819 0.000101513 16057.1
60600 3.49363 0.00285066 15955.8
60700 5.74674 6.51012e-05 15896.3
60800 0.190718 0.726215 15933.5
60900 5.80217 5.93211e-05 16047.1
61000 4.31762 0.00071562 16101.8
61100 -1.35276 9.67091 16152.5
61200 3.14976 0.00507514 16082.2
61300 -1.89636 24.0695 15986.3
61400 9.74014 8.02532e-08 15919.2
61500 7.02982 7.56638e-06 15894.7
61600 8.99179 2.81596e-07 16006.2
61700 3.96094 0.00130173 16089.4
61800 0.0560378 0.910285 16073
61900 9.50574 1.18911e-07 16008
62000 10.794 1.36997e-08 15916
62100 18.3083 4.59967e-14 15988.7
62200 0.226502 0.683906 16086.6
62300 1.50323 0.0803384 16134.5
62400 7.97463 1.551e-06 16067.1
62500 14.4925 2.7699e-11 15941.9
62600 4.44229 0.000580581 15926
62700 -1.68295 16.8269 16004.5
62800 5.98965 4.33149e-05 16089.6
62900 8.33326 8.49873e-07 16129
63000 -3.78434 571.257 16068.2
63100 9.55614 1.0927e-07 15980.4
63200 8.01004 1.46155e-06 15982
63300 16.4782 9.90553e-13 15993.6
63400 1.42303 0.0919059 15995.9
63500 4.13374 0.000974169 16025.6
63600 11.1566 7.45721e-09 16075.6
63700 7.05345 7.27237e-06 16071.9
63800 10.7025 1.59729e-08 16022.3
63900 7.32337 4.62423e-06 15934
64000 3.89611 0.00145127 15933
64100 -0.957875 4.98651 15982.5
64200 5.13256 0.000182395 16060.2
64300 5.84151 5.55332e-05 16111.7
64400 -0.421066 2.02647 16063.8
64500 0.224915 0.68573 16020.3
64600 2.27724 0.0219315 15983
64700 -4.17249 1095.45 15992.2
64800 10.1061 4.3436e-08 16008.9
64900 14.7208 1.88867e-11 15986.8
65000 3.07624 0.00574126 15923.2
65100 1.38981 0.0971725 15903.3
65200 -2.69708 92.2104 15948.7
65300 4.98495 0.000233638 16014.7
65400 -1.23276 7.90756 16046.3
65500 18.9851 1.47799e-14 16028.6
65600 17.3926 2.13692e-13 15975.7
65700 -0.66465 3.04921 15935.7
65800 20.6521 9.02161e-16 15920.7
65900 2.0411 0.0325906 16004.6
66000 16.916 4.75292e-13 16015.2
66100 -0.186092 1.36636 15991
66200 -5.79729 16720 15966.1
66300 0.649498 0.336396 15962.9
66400 5.32518 0.000132036 15975.7
66500 0.362001 0.544864 16000.7
66600 4.27813 0.000764632 16013.9
66700 -0.626014 2.85786 16015.8
66800 -1.3102 9.00445 15993
66900 16.6052 8.00594e-13 15981.8
67000 0.626426 0.34967 15957.7
67100 7.45482 3.7092e-06 15967.1
67200 0.175217 0.745344 16071.1
67300 2.27851 0.0218846 16172.3
67400 -4.39499 1591.04 16219.7
67500 8.79148 3.94049e-07 16122.3
67600 0.0540594 0.913311 15949.2
67700 0.989942 0.190039 15863.4
67800 -0.943444 4.86726 15853.2
67900 2.3259 0.0202123 15912
68000 8.64915 5.00299e-07 15978.8
68100 -1.88303 23.5373 16012.8
68200 -2.5245 69.0332 16014.3
68300 14.1102 5.2599e-11 16066.5
68400 0.347553 0.55823 16074.9
68500 5.72441 6.75859e-05 16053.1
68600 -1.74995 18.8283 16017.2
68700 7.97595 1.54757e-06 15973.7
68800 8.25144 9.7489e-07 15910
68900 17.2401 2.75963e-13 15902.9
69000 -1.55265 13.5233 15903.2
69100 4.28536 0.000755412 15930.4
69200 -0.167861 1.32521 16001.7
69300 0.239507 0.669149 16072.7
69400 -1.66612 16.3585 16119.4
69500 5.11812 0.000186865 16026.4
69600 -0.253711 1.53047 15923.9
69700 3.42249 0.00321198 15983.1
69800 6.50929 1.8117e-05 16083.9
69900 6.49694 1.84963e-05 16085.7
70000 24.268 2.09471e-18 16019.9
70100 2.79623 0.00918307 15982.8
70200 1.1076 0.156002 15995.5
70300 -3.16638 202.608 16049.2
70400 2.93281 0.00730292 16087.2
70500 8.07024 1.32117e-06 16030.3
70600 -0.492637 2.28496 15963.5
70700 1.49753 0.0811096 15960.7
70800 -1.26218 8.30761 15985.2
70900 16.21 1.55332e-12 16019
71000 3.88315 0.00148317 16012.7
71100 9.78248 7.47517e-08 15991.7
71200 7.33228 4.55564e-06 16008.8
71300 3.78027 0.00176251 16048.8
71400 -0.457675 2.15481 16066.6
71500 16.3196 1.29255e-12 16116.9
71600 7.225 5.45383e-06 16085.7
71700 13.0556 3.08462e-10 15964.1
71800 5.39316 0.000117806 15833.9
71900 1.97988 0.0361152 15836.8
72000 9.65008 9.33403e-08 15965.2
72100 4.30644 0.000729165 16146.2
72200 -2.98127 148.528 16187.2
72300 6.81003 1.09396e-05 16086.4
72400 2.58167 0.0131611 15996.2
72500 -0.28761 1.62002 15958.6
72600 6.74431 1.22147e-05 15964.6
72700 7.56325 3.09241e-06 16005.4
72800 11.3835 5.09649e-09 16068.2
72900 1.43695 0.0897851 16152.3
73000 9.55433 1.09603e-07 16140.7
73100 1.32155 0.108961 16113.8
