# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55400 0.506962 0.427254 16009.8
55500 5.79346 6.01947e-05 15912.2
55600 7.71742 2.3877e-06 15882.8
55700 4.88676 0.000275468 16029.4
55800 2.13217 0.0279734 16139.9
55900 12.6672 5.91738e-10 16150.8
56000 -1.2999 8.85031 16130.6
56100 -5.05503 4814.05 16105.3
56200 3.09662 0.0055483 16063.2
56300 -4.43096 1689.99 16071.2
56400 -3.27816 244.394 16073.6
56500 -1.35897 9.77207 16109.1
56600 5.19019 0.000165588 16130.8
56700 0.705222 0.306378 16105
56800 11.2212 6.6915e-09 15998.9
56900 0.481533 0.445873 15935.9
57000 -4.32233 1408.48 15929.9
57100 0.61457 0.356694 15952.3
57200 0.924715 0.212012 15965.7
57300 0.267694 0.638247 16061.2
57400 7.83019 1.97621e-06 16174.2
57500 2.2088 0.0245995 16134.6
57600 3.43086 0.00316717 16000.9
57700 0.373439 0.53451 15942.5
57800 -1.26139 8.29671 15995.9
57900 0.857049 0.237494 16096.2
58000 1.78582 0.0500106 16122.2
58100 -0.266145 1.56272 16046.4
58200 0.387552 0.522005 15915.6
58300 -3.19843 213.799 15839.5
58400 -0.686568 3.1634 15826.1
58500 8.01327 1.45365e-06 15912.6
58600 3.93131 0.00136805 15991
58700 -1.4435 11.2607 15995.2
58800 2.35719 0.0191789 16046.7
58900 -1.52058 12.8151 16075.3
59000 3.67782 0.00209298 16042.7
59100 1.47865 0.08372 16022.3
59200 -0.493546 2.28845 16031.5
59300 3.84215 0.00158874 15927.2
59400 -4.27094 1292.15 15860.9
59500 4.21019 0.000856923 15855.1
59600 -0.117058 1.21696 15871.9
59700 0.590107 0.371635 15895.5
59800 1.4929 0.0817416 15975.4
59900 0.366654 0.540628 16065.4
60000 -8.74437 2.34494e+06 16182.8
60100 -1.81516 21.0046 16216.3
60200 3.05875 0.00591224 16106.2
60300 -3.82262 609.137 15984.8
60400 8.7317 4.3561e-07 15932.2
60500 -2.81877 113.091 16001.7
60600 -1.38527 10.2128 16028.6
60700 -3.17417 205.273 16044.3
60800 -0.665303 3.05255 16083.5
60900 -3.454 328.232 16074
61000 6.68661 1.34558e-05 16127.8
61100 2.61264 0.0124949 16131.8
61200 2.08534 0.0302598 16043.2
61300 0.12952 0.804723 15984.7
61400 0.656013 0.33274 15961.5
61500 -1.91738 24.9334 15944.3
61600 -7.23577 186701 15982.7
61700 8.25445 9.69988e-07 16021.9
61800 -0.272026 1.57822 16104.7
61900 10.5878 1.93613e-08 16107.2
62000 -4.82259 3259.73 16034.4
62100 0.912693 0.216331 16071.6
62200 -2.75156 101.033 16100.8
62300 -0.979156 5.16772 16125.3
62400 -2.36542 52.8654 16151.6
62500 6.26231 2.74163e-05 16145.9
62600 -3.73433 525.288 16109.6
62700 -3.10976 184.251 16072.7
62800 -4.97772 4228.51 16000.1
62900 0.406645 0.505552 15896.8
63000 -1.49765 12.3315 15882.4
63100 -2.77279 104.696 15894.8
63200 -4.60349 2257.19 15998.3
63300 4.98967 0.000231796 16089.5
63400 6.62294 1.49726e-05 16060.8
63500 3.16624 0.00493678 16021.7
63600 -0.946178 4.88962 16006.8
63700 -2.52451 69.0346 15989.1
63800 4.61736 0.00043284 15989.5
63900 5.37867 0.000120706 16062.5
64000 -7.14789 161110 16097.9
64100 -2.59253 77.3784 16039.3
64200 3.45877 0.00302233 15990.3
64300 -0.523266 2.40542 15953.8
64400 4.46979 0.000554409 15962
64500 10.9446 1.06426e-08 16029.1
64600 12.633 6.2669e-10 16137.6
64700 4.42809 0.000594574 16203
64800 13.5649 1.31286e-10 16139.8
64900 2.87304 0.00807308 16011.7
65000 9.43714 1.33413e-07 15989.2
65100 0.902621 0.220016 16038.3
65200 -1.39745 10.4236 16140
65300 5.99266 4.30965e-05 16194.5
65400 15.3275 6.82576e-12 16170
65500 0.107614 0.834843 16072
65600 9.16433 2.10829e-07 16022.6
65700 12.5886 6.75194e-10 16018.5
65800 4.67395 0.000393646 15983.8
65900 -0.105957 1.19451 16016.3
66000 -1.12336 6.58187 16077.3
66100 1.24875 0.123114 16124.2
66200 11.3601 5.30075e-09 16109.5
66300 2.48564 0.0154614 16045.8
66400 -1.17177 7.13858 15997.7
66500 0.372221 0.535603 15892.4
66600 4.43007 0.000592604 15940.1
66700 -3.10195 181.853 16012.3
66800 -2.89543 128.61 16023.4
66900 -2.30448 47.7281 16024.3
67000 -3.50569 357.965 16034.8
67100 -15.9561 4.20485e+11 16082
67200 -3.22434 223.296 16105.3
67300 6.96815 8.39103e-06 16077.7
67400 4.96933 0.000239841 16050.5
67500 -2.94645 140.102 16016.8
67600 3.86625 0.0015258 16048.3
67700 -4.0195 847.507 16141
67800 2.61762 0.012391 16152.8
67900 -6.81013 91426.5 16121.1
68000 0.0925724 0.856175 16077.8
68100 -1.90573 24.4509 16026.5
68200 -0.310969 1.68475 16035
68300 8.03589 1.39953e-06 16085.6
68400 8.6316 5.15253e-07 16142
68500 1.49353 0.0816556 16162.5
68600 -2.78174 106.28 16168.7
68700 11.9573 1.9467e-09 16181.2
68800 -2.53454 70.2061 16183.7
68900 -3.63543 444.995 16117
69000 -1.66305 16.2745 16007.5
69100 5.15941 0.000174362 15980.4
69200 -0.752984 3.5362 16097.9
69300 2.02012 0.0337578 16198.2
69400 -0.0727411 1.12977 16148.5
69500 8.79439 3.92126e-07 16152.7
69600 6.01741 4.13439e-05 16165.7
69700 -1.7635 19.2611 16050.8
69800 7.75378 2.24643e-06 15914.5
69900 3.97246 0.00127682 15885.3
70000 5.4594 0.000105419 15985.8
70100 11.0551 8.84218e-09 16075.5
70200 1.07599 0.164498 16121.3
70300 9.71711 8.34138e-08 16166.8
70400 4.10886 0.00101568 16202.4
70500 -2.32231 49.1775 16162.6
70600 6.80864 1.09652e-05 16076.5
70700 5.83701 5.59538e-05 15946.3
70800 3.14823 0.00508817 15898.2
70900 10.0092 5.11076e-08 15957
71000 0.015399 0.9745 16045.6
71100 -0.424939 2.03968 16112.3
71200 7.39065 4.13073e-06 16150.7
71300 0.772985 0.27346 16163.5
71400 -1.62986 15.3931 16153.5
71500 4.0225 0.00117401 16069.2
71600 3.22076 0.00450537 16069.8
