# Time-averaged data for fix avg
# TimeStep v_dens v_vol_
35000 0.970322 59002.1
40000 0.968131 59136.1
45000 0.971172 58951.2
50000 0.971585 58925.7
55000 0.970155 59013.4
60000 0.970673 58982
65000 0.96981 59033.5
70000 0.968793 59096
75000 0.971667 58920.9
80000 0.968845 59092.5
85000 0.971045 58958.9
90000 0.970175 59011.8
95000 0.971976 58902.8
100000 0.969119 59075.6
105000 0.971677 58920.3
