# Time-averaged data for fix avg
# TimeStep v_dens v_vol_
35000 0.990387 59015.3
40000 0.990569 59004.6
45000 0.991686 58937.7
50000 0.994029 58798.9
55000 0.990728 58995.3
60000 0.988229 59144.1
65000 0.993948 58803.8
70000 0.994099 58795.7
75000 0.99292 58864.6
80000 0.99527 58725.3
85000 0.994231 58787.4
90000 0.993261 58844.6
95000 0.993353 58838.8
100000 0.995586 58706.8
105000 0.998264 58550
