# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
55300 0 0 16203.4
55400 -0.130146 1.24397 16203.2
55500 -1.64337 15.7459 16198.2
55600 0.0808413 0.873189 16162.7
55700 1.14159 0.147356 16161.2
55800 -14.0513 1.72236e+10 16221.7
55900 3.4746 0.00294315 16266.1
56000 0.983731 0.192029 16220.5
56100 5.62275 8.01529e-05 16114.5
56200 -0.251696 1.5253 16127.5
56300 7.45554 3.70477e-06 16209.9
56400 -2.72008 95.8371 16283.7
56500 10.1089 4.32324e-08 16346.6
56600 -2.83125 115.483 16325.7
56700 2.05645 0.031762 16218.9
56800 -1.96221 26.8806 16099.6
56900 1.0573 0.169735 16070.5
57000 1.06431 0.167752 16101.3
57100 -1.19286 7.39571 16150.7
57200 8.98775 2.83509e-07 16123.4
57300 -3.40176 300.699 16098.5
57400 -3.07786 174.651 16072.1
57500 -2.35197 51.6861 16054
57600 -2.51362 67.7845 16134.4
57700 0.427371 0.488278 16238.6
57800 -7.02711 131564 16265.4
57900 -1.7348 18.3559 16231
58000 -2.24908 43.4926 16167.2
58100 -0.66024 3.02673 16171.3
58200 2.53569 0.0142163 16238.6
58300 -1.48194 12.0108 16302.5
58400 1.46377 0.0858358 16240.1
58500 -5.59872 11983.3 16233.8
58600 -4.39174 1582.38 16298
58700 -3.03094 161.432 16321.2
58800 10.7064 1.58705e-08 16271.3
58900 -0.117825 1.21852 16169.5
59000 -9.25136 5.4887e+06 16058.2
59100 5.75478 6.42292e-05 16038.5
59200 -5.83144 17705.5 16083
59300 11.1005 8.1937e-09 16150
59400 6.46473 1.9523e-05 16172.5
59500 4.24359 0.000810235 16151.9
59600 18.0807 6.73767e-14 16204.1
59700 -2.05419 31.3647 16234.5
59800 4.74969 0.00034668 16163.3
59900 -4.98741 4297.85 16096.4
60000 3.71626 0.00196229 16019.4
60100 -2.01815 29.5248 15971.9
60200 2.13069 0.028043 16037.2
60300 5.14126 0.000179753 16117.7
