# Time-averaged data for fix avg
# TimeStep v_dens v_vol_
35000 1.16303 15942.5
40000 1.1622 15953.7
45000 1.16047 15977.6
50000 1.1651 15914.1
55000 1.1621 15955.1
60000 1.16572 15905.8
65000 1.16737 15882.9
70000 1.16409 15928.5
75000 1.15849 16004.8
80000 1.15739 16020
85000 1.15659 16031
90000 1.15579 16041.8
95000 1.15644 16033.3
100000 1.15703 16024.8
105000 1.15537 16047.9
