run,index,n_waters_before,n_requested,n_inserted,n_waters_after,density,volume,lambda_value,water_uptake_pct,mu_ex,mu_ex_stderr,mu_gap,saturated,geometrically_saturated,sampling_adequate,free_volume_fraction,wall_seconds
im_peek_saturation,0,0,0,0,0,1.1612281493245875,28845.725800542816,0.0,0.0,-15.398087424817742,0.05544558901060685,-8.898087424817742,False,False,True,0.0,61473.65041589737
im_peek_saturation,1,0,5,5,5,1.17541,28625.033333333336,0.1,0.4465407448773789,-14.65072304353693,0.05357917866073789,-8.15072304353693,False,False,True,0.010917543200601051,63618.276779174805
im_peek_saturation,2,5,5,5,10,1.1707166666666666,28867.166666666668,0.2,0.8930814897547578,-16.33714896562325,0.07005509787078405,-9.83714896562325,False,False,True,0.00498919984973704,45525.72232079506
im_peek_saturation,3,10,5,5,15,1.1871,28594.666666666668,0.3,1.339622234632137,-10.976497505077752,0.07281241219681917,-4.476497505077752,False,False,False,0.0059753005259203604,45185.12816929817
im_peek_saturation,4,15,5,5,20,1.2024233333333332,28355.8,0.4,1.7861629795095155,-12.864302904611257,0.06595242975246389,-6.364302904611257,False,False,False,0.004108752817430504,46530.60845923424
im_peek_saturation_longer_relax,0,0,0,0,0,1.1612281493245875,28845.725800542816,0.0,0.0,-15.398087424817742,0.05544558901060685,-8.898087424817742,False,False,True,0.0,60468.10798406601
im_peek_saturation_longer_relax,1,0,5,5,5,1.1650466666666668,28879.5,0.1,0.4465407448773789,-15.841016521846559,0.05417942227852136,-9.341016521846559,False,False,True,0.010917543200601051,64363.47051358223
im_peek_saturation_longer_relax,2,5,5,5,10,1.1393366666666667,29662.166666666668,0.2,0.8930814897547578,-14.0366157798645,0.062340347825474804,-7.5366157798644995,False,False,False,0.006879226145755072,44660.27522826195
im_peek_saturation_longer_relax,3,10,5,5,15,1.14672,29601.766666666663,0.3,1.339622234632137,-14.957095471177384,0.06023849344634314,-8.457095471177384,False,False,False,0.008954732510288065,45342.34772372246
im_peek_saturation_longer_relax,4,15,5,5,20,1.1689833333333333,29165.733333333337,0.4,1.7861629795095155,-14.142742162992139,0.06535351709971585,-7.642742162992139,False,False,False,0.00706721536351166,46920.28692483902
