# Time-averaged data for fix avg
# TimeStep v_dens v_vol_
35000 0.972893 59461.7
40000 0.977756 59166.1
45000 0.976114 59265.2
50000 0.976457 59244.6
55000 0.978146 59142.4
60000 0.978887 59097.9
65000 0.976863 59220.3
70000 0.981864 58919.1
75000 0.979042 59088.5
80000 0.977182 59200.7
85000 0.978745 59105.9
90000 0.981255 58955.1
95000 0.980432 59005
100000 0.978699 59109.2
105000 0.980066 59026.2
