index,n_waters_before,n_requested,n_inserted,n_waters_after,density,volume,lambda_value,water_uptake_pct,mu_ex,mu_ex_stderr,mu_gap,saturated,geometrically_saturated,free_volume_fraction,wall_seconds
0,0,50,50,50,1.0993125000000001,16186.4875,1.0,9.177567246349783,-14.82116450420717,1.6120399364812168,-8.621164504207169,False,False,0.07691548378180957,34768.50678348541
1,50,25,25,75,1.15764875,16016.5125,1.5,13.766350869524674,-11.850457791276295,1.4570377417922802,-5.6504577912762946,False,False,0.014411782125441731,36711.43719410896
2,75,19,6,81,1.1653837500000002,16064.1125,1.62,14.867658939086647,-12.294863750514551,1.4720322259490954,-6.094863750514551,False,True,0.0008573388203017832,37997.49495100975
3,81,20,5,86,1.17051625,16121.65,1.72,15.785415663721624,-16.103315751523567,1.845939424383304,-9.903315751523568,False,True,0.0009673661974611573,26400.122971773148
4,86,43,5,91,1.191385,15964.6125,1.82,16.703172388356602,-4.186228389186854,0.4992203846846001,2.013771610813146,False,True,0.0005132963496732671,25292.95467376709
